startTime,endTime,description,normativeEventNo,clipNo
474.786,475.739,man turn his head towards the front door ,62,8
475.739,478.381,"a stranger woman, seen through the home security intercom camera is at the door, ring the bell waiting for someone to answer ",62,8
478.381,483.251,man walked towards the front door to glance over ,62,separated
483.249,484.899,"stranger woman, seen through home security intercom camera waiting outside of the apartment, looking around ",62,9
484.899,487.148,"strager woman, seen through home security intercom camera looked and walked away from apartment ",62,9
487.19,491.293,man walk back towards the plant and continued watering the plant. ,62,9
487.19,491.293,Woman turn back onto food on the dining table and continued eating ,62,9
491.295,496.057,"man posing in front of a scrambled photo, holding up a camera to take a selfie. ",63,9
496.057,497.874,man pressed the shutter button of his digital camera to take a sefie in front of the scrambled photo,63,9
497.874,502.124,man and woman are standing around a neighbourhood distributing fliers or takeout menus ,64,9
502.124,505.753,man and woman are standing outside the gate of a house. ,65,9
502.124,505.753,woman hand man flyer,65,9
505.753,512.894,man and woman crossed the street to approach another house in the neighborhood.,65,9
505.753,512.894,"Woman walking behind man, holding a stack of flyers in her hand",65,9
512.894,519.658,man and woman ride away through the neighborhood on the motorcycle. ,65,9
519.658,527.098,man and woman ride in front of the fourth gated house during nighttime and parked the motorcycle outside the front gate,66,9
527.098,537.415,man walk into the fourth house and look at the photo hanging by the door. ,66,9
537.415,538.508,man walk inside the house. ,66,9
537.415,538.508,Woman follows behind man entering the fourth house.,66,9
538.508,544.018,man standing in front of the stereo and pressed the button on the stereo ,67,separated
544.018,545.182,man turn the volume knob of the stereo,68,10
545.182,552.955,"man sitting on the floor by the sofa in the living room take apart the stereo, uncrewing the stereo parts and taking apart stereo",68,10
545.182,552.955,"woman sit on sofa, observing man fixing the stereo ",68,10
552.955,557.118,"woman stand up from sofa, walked away and grab a pair of scissors from a cup containing scissors and hand mirror ",69,10
557.118,563.284,"man is still sitting on the floor fixing stereo, putting stereo cover back and scewing it back in place ",69,10
563.284,564.448,"woman standing in front of man, hand out scissors in front of man ",69,10
564.45,567.118,man look at scissors hand out by woman and then look up at woman ,69,10
567.118,569.634,woman standing in front of man holding scissors out ,69,10
569.634,574.232,woman sitting on chair having her hair cut.,70,10
569.634,574.232,Her hair is falling on the ground ,70,10
569.634,574.232,"Woman sitting on chair, wiggling her feet ",70,10
574.232,576.913,"woman standing in front of a mirror, tie hair up into a ponytail ",71,10
576.913,577.802,"woman standing in front of the mirror, tuck a stray hair behind her ear ",71,10
577.802,580.75,woman look at her self in the mirror ,71,10
580.75,582.013,woman walk in frame and pose in front of a poster of a boxer ,72,10
582.013,583.545,"woman raise the camera to take a selfie, she look at the camera lens and pose for a photo ",72,10
583.545,584.827,man walk in frame and pose in front of the poster of a boxer wearing a boxing glove ,73,10
584.827,589.388,man and woman pose for a selfie and take a selfie in front of a boxer poster,74,10
