"subid"	"phase"	"movieOrder"	"movieName"	"grain"	"movieStartTime"	"keypressed"	"bpTime"	"movieDuration"	"condition"	"clipNo"	"movName"	"bpTime.series"	"totalMovieDur"	"grainorder"	"include"
"75"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	47.9419	NA	"Uninterrupted"	"4"	"3Iron"	228.489	589.3222	1	1
"76"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	54.0112	NA	"Uninterrupted"	"4"	"3Iron"	234.5583	589.3222	1	1
"77"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	56.5459	NA	"Uninterrupted"	"4"	"3Iron"	237.093	589.3222	1	1
"78"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	59.143	NA	"Uninterrupted"	"4"	"3Iron"	239.6901	589.3222	1	1
"79"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	3.7201	NA	"Uninterrupted"	"5"	"3Iron"	244.6275	589.3222	1	1
"80"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	5.62280000000001	NA	"Uninterrupted"	"5"	"3Iron"	246.5302	589.3222	1	1
"81"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	14.4073	NA	"Uninterrupted"	"5"	"3Iron"	255.3147	589.3222	1	1
"82"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	17.935	NA	"Uninterrupted"	"5"	"3Iron"	258.8424	589.3222	1	1
"83"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	27.1846	NA	"Uninterrupted"	"5"	"3Iron"	268.092	589.3222	1	1
"84"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	37.9969	NA	"Uninterrupted"	"5"	"3Iron"	278.9043	589.3222	1	1
"85"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	44.7884	NA	"Uninterrupted"	"5"	"3Iron"	285.6958	589.3222	1	1
"86"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	50.941	NA	"Uninterrupted"	"5"	"3Iron"	291.8484	589.3222	1	1
"87"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	57.5727	NA	"Uninterrupted"	"5"	"3Iron"	298.4801	589.3222	1	1
"88"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	0.720800000000054	NA	"Uninterrupted"	"6"	"3Iron"	301.855	589.3222	1	1
"89"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	2.31810000000002	NA	"Uninterrupted"	"6"	"3Iron"	303.4523	589.3222	1	1
"90"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	10.1651000000001	NA	"Uninterrupted"	"6"	"3Iron"	311.2993	589.3222	1	1
"91"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	12.6234000000001	NA	"Uninterrupted"	"6"	"3Iron"	313.7576	589.3222	1	1
"92"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	17.6578	NA	"Uninterrupted"	"6"	"3Iron"	318.792	589.3222	1	1
"93"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	21.9772	NA	"Uninterrupted"	"6"	"3Iron"	323.1114	589.3222	1	1
"94"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	30.116	NA	"Uninterrupted"	"6"	"3Iron"	331.2502	589.3222	1	1
"95"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	31.4493	NA	"Uninterrupted"	"6"	"3Iron"	332.5835	589.3222	1	1
"96"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	33.5879	NA	"Uninterrupted"	"6"	"3Iron"	334.7221	589.3222	1	1
"97"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	42.1573	NA	"Uninterrupted"	"6"	"3Iron"	343.2915	589.3222	1	1
"98"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	48.9002	NA	"Uninterrupted"	"6"	"3Iron"	350.0344	589.3222	1	1
"99"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	53.775	NA	"Uninterrupted"	"6"	"3Iron"	354.9092	589.3222	1	1
"100"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	1.57710000000003	NA	"Uninterrupted"	"7"	"3Iron"	362.9715	589.3222	1	1
"101"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	8.50060000000002	NA	"Uninterrupted"	"7"	"3Iron"	369.895	589.3222	1	1
"102"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	12.5629	NA	"Uninterrupted"	"7"	"3Iron"	373.9573	589.3222	1	1
"103"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	21.4447	NA	"Uninterrupted"	"7"	"3Iron"	382.8391	589.3222	1	1
"104"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	26.7778	NA	"Uninterrupted"	"7"	"3Iron"	388.1722	589.3222	1	1
"105"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	31.1527	NA	"Uninterrupted"	"7"	"3Iron"	392.5471	589.3222	1	1
"106"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	34.8818000000001	NA	"Uninterrupted"	"7"	"3Iron"	396.2762	589.3222	1	1
"107"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	42.3955	NA	"Uninterrupted"	"7"	"3Iron"	403.7899	589.3222	1	1
"108"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	48.7981	NA	"Uninterrupted"	"7"	"3Iron"	410.1925	589.3222	1	1
"109"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	58.1728	NA	"Uninterrupted"	"7"	"3Iron"	419.5672	589.3222	1	1
"110"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	4.68459999999999	NA	"Uninterrupted"	"8"	"3Iron"	426.3726	589.3222	1	1
"111"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	17.1356	NA	"Uninterrupted"	"8"	"3Iron"	438.8236	589.3222	1	1
"112"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	29.6422	NA	"Uninterrupted"	"8"	"3Iron"	451.3302	589.3222	1	1
"113"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	40.8919	NA	"Uninterrupted"	"8"	"3Iron"	462.5799	589.3222	1	1
"114"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	46.8363	NA	"Uninterrupted"	"8"	"3Iron"	468.5243	589.3222	1	1
"115"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	54.593	NA	"Uninterrupted"	"8"	"3Iron"	476.281	589.3222	1	1
"116"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	3.02020000000005	NA	"Uninterrupted"	"9"	"3Iron"	484.8016	589.3222	1	1
"117"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	6.08260000000001	NA	"Uninterrupted"	"9"	"3Iron"	487.864	589.3222	1	1
"118"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	11.6588	NA	"Uninterrupted"	"9"	"3Iron"	493.4402	589.3222	1	1
"119"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	16.9294	NA	"Uninterrupted"	"9"	"3Iron"	498.7108	589.3222	1	1
"120"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	27.443	NA	"Uninterrupted"	"9"	"3Iron"	509.2244	589.3222	1	1
"121"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	30.8528	NA	"Uninterrupted"	"9"	"3Iron"	512.6342	589.3222	1	1
"122"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	38.3178	NA	"Uninterrupted"	"9"	"3Iron"	520.0992	589.3222	1	1
"123"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	45.7898	NA	"Uninterrupted"	"9"	"3Iron"	527.5712	589.3222	1	1
"124"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	57.3034	NA	"Uninterrupted"	"9"	"3Iron"	539.0848	589.3222	1	1
"125"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	3.61249999999995	NA	"Uninterrupted"	"10"	"3Iron"	545.6541	589.3222	1	1
"126"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	11.3207	NA	"Uninterrupted"	"10"	"3Iron"	553.3623	589.3222	1	1
