"subid"	"condition"	"grain"	"movName"	"clipNo"	"bpTime.series"
"239"	"48334"	"Uninterrupted"	"f"	"prac"	1	65.801400000006
"240"	"48334"	"Uninterrupted"	"f"	"prac"	1	76.084200000003
"241"	"48334"	"Uninterrupted"	"f"	"prac"	1	83.813200000003
"242"	"48334"	"Uninterrupted"	"f"	"prac"	1	87.2395
"243"	"48334"	"Uninterrupted"	"f"	"corn"	1	14.181200000003
"244"	"48334"	"Uninterrupted"	"f"	"corn"	1	23.705
"245"	"48334"	"Uninterrupted"	"f"	"corn"	1	28.117
"246"	"48334"	"Uninterrupted"	"f"	"corn"	1	33.362099999994
"247"	"48334"	"Uninterrupted"	"f"	"corn"	1	41.95
"248"	"48334"	"Uninterrupted"	"f"	"corn"	1	54.1338999999911
"249"	"48334"	"Uninterrupted"	"f"	"corn"	1	62.4448999999911
"250"	"48334"	"Uninterrupted"	"f"	"corn"	1	72.347
"251"	"48334"	"Uninterrupted"	"f"	"corn"	1	80.145599999994
"252"	"48334"	"Uninterrupted"	"f"	"corn"	1	89.775700000003
"253"	"48334"	"Uninterrupted"	"f"	"corn"	1	97.2905
"254"	"48334"	"Uninterrupted"	"f"	"corn"	1	98.884200000003
"255"	"48334"	"Uninterrupted"	"f"	"corn"	1	108.516
"256"	"48334"	"Uninterrupted"	"f"	"corn"	1	111.810799999997
"257"	"48334"	"Uninterrupted"	"f"	"corn"	1	116.208399999991
"258"	"48334"	"Uninterrupted"	"f"	"corn"	1	129.8335
"259"	"48334"	"Uninterrupted"	"f"	"corn"	1	147.775299999997
"260"	"48334"	"Uninterrupted"	"f"	"corn"	1	152.711799999997
"261"	"48334"	"Uninterrupted"	"f"	"corn"	1	180.682299999997
"262"	"48334"	"Uninterrupted"	"f"	"corn"	1	203.381700000003
"263"	"48334"	"Uninterrupted"	"f"	"corn"	1	208.281
"264"	"48334"	"Uninterrupted"	"f"	"corn"	1	213.133200000003
"265"	"48334"	"Uninterrupted"	"f"	"corn"	1	220.685200000003
"266"	"48334"	"Uninterrupted"	"f"	"corn"	1	229.357599999994
"267"	"48334"	"Uninterrupted"	"f"	"corn"	1	251.325599999994
"268"	"48334"	"Uninterrupted"	"f"	"corn"	1	274.661099999994
"269"	"48334"	"Uninterrupted"	"f"	"corn"	1	283.851299999997
"270"	"48334"	"Uninterrupted"	"f"	"corn"	1	289.900700000003
"271"	"48334"	"Uninterrupted"	"f"	"corn"	1	304.483299999997
"272"	"48334"	"Uninterrupted"	"f"	"corn"	1	317.326599999994
"273"	"48334"	"Uninterrupted"	"f"	"corn"	1	325.134700000003
"274"	"48334"	"Uninterrupted"	"f"	"corn"	1	336.893700000003
"275"	"48334"	"Uninterrupted"	"f"	"corn"	1	356.111799999997
"276"	"48334"	"Uninterrupted"	"f"	"corn"	1	373.412599999994
"277"	"48334"	"Uninterrupted"	"f"	"corn"	1	384.195099999994
"278"	"48334"	"Uninterrupted"	"f"	"corn"	1	397.380599999994
"279"	"48334"	"Uninterrupted"	"f"	"corn"	1	402.502
"280"	"48334"	"Uninterrupted"	"f"	"corn"	1	414.786799999997
"281"	"48334"	"Uninterrupted"	"f"	"corn"	1	418.825899999991
"282"	"48334"	"Uninterrupted"	"f"	"corn"	1	442.724
"283"	"48334"	"Uninterrupted"	"f"	"corn"	1	451.828599999994
"284"	"48334"	"Uninterrupted"	"f"	"corn"	1	467.959599999994
"285"	"48334"	"Uninterrupted"	"f"	"corn"	1	478.447
"286"	"48334"	"Uninterrupted"	"f"	"corn"	1	488.240200000003
"287"	"48334"	"Uninterrupted"	"f"	"corn"	1	494.316399999991
"288"	"48334"	"Uninterrupted"	"f"	"corn"	1	547.668700000003
"289"	"48334"	"Uninterrupted"	"f"	"corn"	1	562.828200000003
"290"	"48334"	"Uninterrupted"	"f"	"iron"	1	4.41360000000894
"291"	"48334"	"Uninterrupted"	"f"	"iron"	1	8.24880000001192
"292"	"48334"	"Uninterrupted"	"f"	"iron"	1	10.737200000003
