pseudo_subid,exp_subid,condition,movName,eventNo,separated,recall
61,10,Uninterrupted,3Iron,34,FALSE,0
61,10,Uninterrupted,3Iron,35,FALSE,1
61,10,Uninterrupted,3Iron,36,FALSE,1
61,10,Uninterrupted,3Iron,37,FALSE,0
61,10,Uninterrupted,3Iron,38,TRUE,1
61,10,Uninterrupted,3Iron,39,FALSE,0
61,10,Uninterrupted,3Iron,40,FALSE,0
61,10,Uninterrupted,3Iron,41,FALSE,1
61,10,Uninterrupted,3Iron,42,FALSE,1
61,10,Uninterrupted,3Iron,43,TRUE,1
61,10,Uninterrupted,3Iron,44,FALSE,1
61,10,Uninterrupted,3Iron,45,FALSE,0
61,10,Uninterrupted,3Iron,46,FALSE,0
61,10,Uninterrupted,3Iron,47,FALSE,0
61,10,Uninterrupted,3Iron,48,FALSE,0
61,10,Uninterrupted,3Iron,49,FALSE,1
61,10,Uninterrupted,3Iron,50,TRUE,1
61,10,Uninterrupted,3Iron,51,FALSE,0
61,10,Uninterrupted,3Iron,52,FALSE,0
61,10,Uninterrupted,3Iron,53,FALSE,0
61,10,Uninterrupted,3Iron,54,FALSE,0
61,10,Uninterrupted,3Iron,55,FALSE,0
61,10,Uninterrupted,3Iron,56,FALSE,0
61,10,Uninterrupted,3Iron,57,FALSE,0
61,10,Uninterrupted,3Iron,58,TRUE,1
61,10,Uninterrupted,3Iron,59,FALSE,1
61,10,Uninterrupted,3Iron,60,FALSE,0
61,10,Uninterrupted,3Iron,61,FALSE,1
61,10,Uninterrupted,3Iron,62,TRUE,1
61,10,Uninterrupted,3Iron,63,FALSE,1
61,10,Uninterrupted,3Iron,64,FALSE,0
61,10,Uninterrupted,3Iron,65,FALSE,0
61,10,Uninterrupted,3Iron,66,FALSE,1
61,10,Uninterrupted,3Iron,67,TRUE,0
61,10,Uninterrupted,3Iron,68,FALSE,1
61,10,Uninterrupted,3Iron,69,FALSE,0
61,10,Uninterrupted,3Iron,70,FALSE,0
61,10,Uninterrupted,3Iron,71,FALSE,0
61,10,Uninterrupted,3Iron,72,FALSE,0
61,10,Uninterrupted,3Iron,73,FALSE,0
61,10,Uninterrupted,3Iron,74,FALSE,1
62,2,Jumbled,3Iron,1,FALSE,0
62,2,Jumbled,3Iron,2,FALSE,0
62,2,Jumbled,3Iron,3,FALSE,0
62,2,Jumbled,3Iron,4,FALSE,0
62,2,Jumbled,3Iron,5,FALSE,0
62,2,Jumbled,3Iron,6,FALSE,1
62,2,Jumbled,3Iron,7,FALSE,0
62,2,Jumbled,3Iron,8,FALSE,0
62,2,Jumbled,3Iron,9,FALSE,0
