"pseudo_subid","exp_subid","exp_cond","movieName","recalled_eventNo","precision","condition","movName"
34,55,"ordered","iron",41,0.581043414771557,"Interrupted","3Iron"
34,55,"ordered","iron",50,0.529972199350595,"Interrupted","3Iron"
76,9,"ordered","iron",1,0.777608960866928,"Interrupted","3Iron"
76,9,"ordered","iron",4,0.702118203043938,"Interrupted","3Iron"
76,9,"ordered","iron",6,0.71016138792038,"Interrupted","3Iron"
76,9,"ordered","iron",7,0.665981203317642,"Interrupted","3Iron"
76,9,"ordered","iron",13,0.68909940123558,"Interrupted","3Iron"
76,9,"ordered","iron",15,0.68370358645916,"Interrupted","3Iron"
76,9,"ordered","iron",19,0.711405709385872,"Interrupted","3Iron"
76,9,"ordered","iron",10,0.641881227493286,"Interrupted","3Iron"
76,9,"ordered","iron",22,0.615429401397705,"Interrupted","3Iron"
76,9,"ordered","iron",25,0.573659501969814,"Interrupted","3Iron"
76,9,"ordered","iron",26,0.592828311026096,"Interrupted","3Iron"
76,9,"ordered","iron",27,0.691265285015106,"Interrupted","3Iron"
76,9,"ordered","iron",29,0.622114144265652,"Interrupted","3Iron"
76,9,"ordered","iron",31,0.622973710298538,"Interrupted","3Iron"
76,9,"ordered","iron",42,0.821461379528046,"Interrupted","3Iron"
28,60982,"continuous","iron",10,0.643670618534088,"Uninterrupted","3Iron"
28,60982,"continuous","iron",35,0.615275681018829,"Uninterrupted","3Iron"
28,60982,"continuous","iron",31,0.6988944709301,"Uninterrupted","3Iron"
28,60982,"continuous","iron",42,0.470273673534393,"Uninterrupted","3Iron"
28,60982,"continuous","iron",49,0.526471883058548,"Uninterrupted","3Iron"
28,60982,"continuous","iron",58,0.683723300695419,"Uninterrupted","3Iron"
28,60982,"continuous","iron",61,0.577391184866428,"Uninterrupted","3Iron"
28,60982,"continuous","iron",74,0.614513322710991,"Uninterrupted","3Iron"
28,60982,"continuous","iron",62,0.656014412641525,"Uninterrupted","3Iron"
28,60982,"continuous","iron",38,0.677387401461601,"Uninterrupted","3Iron"
28,60982,"continuous","iron",52,0.769862651824951,"Uninterrupted","3Iron"
58,27,"ordered","iron",1,0.747633785009384,"Interrupted","3Iron"
58,27,"ordered","iron",70,0.664608404040337,"Interrupted","3Iron"
58,27,"ordered","iron",68,0.68237316608429,"Interrupted","3Iron"
58,27,"ordered","iron",58,0.651183277368546,"Interrupted","3Iron"
58,27,"ordered","iron",69,0.771783381700516,"Interrupted","3Iron"
58,27,"ordered","iron",41,0.60956460237503,"Interrupted","3Iron"
58,27,"ordered","iron",42,0.672065481543541,"Interrupted","3Iron"
13,48,"jumbled","iron",41,0.640875056385994,"Jumbled","3Iron"
13,48,"jumbled","iron",38,0.669152230024338,"Jumbled","3Iron"
13,48,"jumbled","iron",37,0.669066369533539,"Jumbled","3Iron"
13,48,"jumbled","iron",41,0.642852932214737,"Jumbled","3Iron"
13,48,"jumbled","iron",13,0.743353426456451,"Jumbled","3Iron"
13,48,"jumbled","iron",14,0.600301131606102,"Jumbled","3Iron"
13,48,"jumbled","iron",59,0.883371353149414,"Jumbled","3Iron"
13,48,"jumbled","iron",60,0.717082619667053,"Jumbled","3Iron"
13,48,"jumbled","iron",42,0.695788964629173,"Jumbled","3Iron"
13,48,"jumbled","iron",43,0.78864198923111,"Jumbled","3Iron"
13,48,"jumbled","iron",45,0.719986364245415,"Jumbled","3Iron"
13,48,"jumbled","iron",46,0.817213833332062,"Jumbled","3Iron"
