pseudo_subid,exp_subid,exp_cond,movName,recalled_eventNo,precision,condition
28,21,Ordered,3Iron,25,0.772270322,Interrupted
28,21,Ordered,3Iron,26,0.683387831,Interrupted
28,21,Ordered,3Iron,27,0.626015097,Interrupted
28,21,Ordered,3Iron,28,0.580867648,Interrupted
28,21,Ordered,3Iron,29,0.748711675,Interrupted
28,21,Ordered,3Iron,30,0.720289543,Interrupted
28,21,Ordered,3Iron,31,0.758151799,Interrupted
28,21,Ordered,3Iron,32,0.681571573,Interrupted
28,21,Ordered,3Iron,35,0.748054445,Interrupted
28,21,Ordered,3Iron,37,0.690195292,Interrupted
28,21,Ordered,3Iron,38,0.627887577,Interrupted
28,21,Ordered,3Iron,36,0.781202942,Interrupted
28,21,Ordered,3Iron,39,0.794746399,Interrupted
28,21,Ordered,3Iron,41,0.813322723,Interrupted
28,21,Ordered,3Iron,42,0.696324497,Interrupted
28,21,Ordered,3Iron,43,0.728101581,Interrupted
28,21,Ordered,3Iron,49,0.642781377,Interrupted
28,21,Ordered,3Iron,66,0.607613616,Interrupted
28,21,Ordered,3Iron,58,0.639774546,Interrupted
28,21,Ordered,3Iron,59,0.691402137,Interrupted
28,21,Ordered,3Iron,50,0.647487909,Interrupted
28,21,Ordered,3Iron,52,0.722349584,Interrupted
28,21,Ordered,3Iron,63,0.673651367,Interrupted
28,21,Ordered,3Iron,61,0.659119636,Interrupted
28,21,Ordered,3Iron,62,0.773422599,Interrupted
28,21,Ordered,3Iron,68,0.709497154,Interrupted
28,21,Ordered,3Iron,69,0.711706609,Interrupted
28,21,Ordered,3Iron,70,0.644468218,Interrupted
28,21,Ordered,3Iron,74,0.607087672,Interrupted
58,15,Ordered,3Iron,1,0.786204487,Interrupted
58,15,Ordered,3Iron,46,0.661995977,Interrupted
58,15,Ordered,3Iron,44,0.745704755,Interrupted
58,15,Ordered,3Iron,47,0.617137849,Interrupted
58,15,Ordered,3Iron,48,0.645742491,Interrupted
58,15,Ordered,3Iron,59,0.670031786,Interrupted
58,15,Ordered,3Iron,61,0.56162845,Interrupted
58,15,Ordered,3Iron,62,0.66167374,Interrupted
13,3,Jumbled,3Iron,1,0.767115474,Jumbled
13,3,Jumbled,3Iron,2,0.677456334,Jumbled
13,3,Jumbled,3Iron,4,0.763046026,Jumbled
13,3,Jumbled,3Iron,5,0.554095369,Jumbled
13,3,Jumbled,3Iron,6,0.732362211,Jumbled
13,3,Jumbled,3Iron,7,0.752744108,Jumbled
13,3,Jumbled,3Iron,10,0.679923326,Jumbled
13,3,Jumbled,3Iron,20,0.697280139,Jumbled
13,3,Jumbled,3Iron,12,0.697877511,Jumbled
13,3,Jumbled,3Iron,13,0.699434578,Jumbled
13,3,Jumbled,3Iron,23,0.71462971,Jumbled
