"pseudo_subid","exp_subid","exp_cond","mov_name","eventNo","separated","recall","condition","movName"
92,51727,"continuous","iron",45,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",46,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",47,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",48,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",49,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",50,TRUE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",51,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",52,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",53,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",54,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",55,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",56,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",57,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",58,TRUE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",59,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",60,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",61,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",62,TRUE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",63,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",64,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",65,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",66,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",67,TRUE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",68,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",69,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",70,FALSE,1,"Uninterrupted","3Iron"
92,51727,"continuous","iron",71,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",72,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",73,FALSE,0,"Uninterrupted","3Iron"
92,51727,"continuous","iron",74,FALSE,1,"Uninterrupted","3Iron"
93,17,"ordered","iron",1,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",2,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",3,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",4,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",5,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",6,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",7,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",8,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",9,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",10,TRUE,1,"Interrupted","3Iron"
93,17,"ordered","iron",11,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",12,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",13,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",14,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",15,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",16,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",17,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",18,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",19,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",20,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",21,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",22,TRUE,0,"Interrupted","3Iron"
93,17,"ordered","iron",23,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",24,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",25,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",26,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",27,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",28,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",29,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",30,TRUE,0,"Interrupted","3Iron"
93,17,"ordered","iron",31,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",32,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",33,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",34,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",35,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",36,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",37,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",38,TRUE,0,"Interrupted","3Iron"
93,17,"ordered","iron",39,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",40,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",41,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",42,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",43,TRUE,1,"Interrupted","3Iron"
93,17,"ordered","iron",44,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",45,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",46,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",47,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",48,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",49,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",50,TRUE,1,"Interrupted","3Iron"
93,17,"ordered","iron",51,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",52,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",53,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",54,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",55,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",56,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",57,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",58,TRUE,0,"Interrupted","3Iron"
93,17,"ordered","iron",59,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",60,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",61,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",62,TRUE,1,"Interrupted","3Iron"
93,17,"ordered","iron",63,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",64,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",65,FALSE,1,"Interrupted","3Iron"
93,17,"ordered","iron",66,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",67,TRUE,0,"Interrupted","3Iron"
93,17,"ordered","iron",68,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",69,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",70,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",71,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",72,FALSE,0,"Interrupted","3Iron"
